FarmId,FarmArea,Location,Crop,PlantingDate,Temperature,Precipitation,AvgTempRequiredMin,AvgTempRequiredMax,PrecipitationMin,PrecipitationMax,OptimalTempMidpoint,OptimalPrecipMidpoint,TempDeviation,PrecipDeviation,NormalizedTempDeviation,NormalizedPrecipDeviation,OverallRiskScore
15,858.8099706,California,Grapes,2/1/2019,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
16,727.9730995,California,Almonds,10/1/2013,60,28,32,45,400,500,38.5,450,21.5,422,60.56338028,57.45405037,59.00871533
17,334.3570911,Iowa,Corn,5/1/2015,65,110,41,95,508,635,68,571.5,3,461.5,8.450704225,62.83185841,35.64128132
18,2687.09056,California,Almonds,11/1/2017,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
19,3035.960388,California,Almonds,11/1/2015,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
20,2272.08035,California,Almonds,11/1/2020,63.52640545,79.87720045,32,45,400,500,38.5,450,25.02640545,370.1227995,70.49691676,50.39112315,60.44401996
21,4382.351461,Iowa,Corn,5/1/2013,65,110,41,95,508,635,68,571.5,3,461.5,8.450704225,62.83185841,35.64128132
22,1055.780458,Kansas,Corn,5/1/2014,70,90,41,95,508,635,68,571.5,2,481.5,5.633802817,65.55479918,35.594301
23,1309.62587,Kansas,Soybean,6/1/2018,80,100,50,70,50,90,60,70,20,30,56.33802817,4.084411164,30.21121967
24,179.6507866,Iowa,Corn,4/1/2022,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
25,3106.847727,Kansas,Corn,5/1/2017,70,90,41,95,508,635,68,571.5,2,481.5,5.633802817,65.55479918,35.594301
26,143.915905,Kansas,Soybean,5/1/2014,70,90,50,70,50,90,60,70,10,20,28.16901408,2.722940776,15.44597743
27,1455.789933,Kansas,Wheat,11/1/2014,50,40,70,75,200,250,72.5,225,22.5,185,63.38028169,25.18720218,44.28374193
28,3802.686571,Iowa,Soybean,6/1/2017,75,105,50,70,50,90,60,70,15,35,42.25352113,4.765146358,23.50933374
29,169.4255576,Iowa,Corn,5/1/2017,65,110,41,95,508,635,68,571.5,3,461.5,8.450704225,62.83185841,35.64128132
30,4497.898145,California,Almonds,11/1/2021,63.52640545,79.87720045,32,45,400,500,38.5,450,25.02640545,370.1227995,70.49691676,50.39112315,60.44401996
31,3167.798539,California,Grapes,4/1/2013,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
32,1309.387781,California,Almonds,10/1/2021,63.52640545,79.87720045,32,45,400,500,38.5,450,25.02640545,370.1227995,70.49691676,50.39112315,60.44401996
33,3253.995207,Kansas,Soybean,6/1/2016,80,100,50,70,50,90,60,70,20,30,56.33802817,4.084411164,30.21121967
34,576.3979508,California,Almonds,11/1/2017,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
35,2400.201164,Kansas,Wheat,10/1/2014,65,60,70,75,200,250,72.5,225,7.5,165,21.12676056,22.4642614,21.79551098
36,1311.772299,Kansas,Wheat,5/1/2017,70,90,70,75,200,250,72.5,225,2.5,135,7.042253521,18.37985024,12.71105188
37,2948.97413,California,Grapes,4/1/2016,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
38,3591.264406,Iowa,Soybean,6/1/2016,75,105,50,70,50,90,60,70,15,35,42.25352113,4.765146358,23.50933374
39,3099.406578,Iowa,Corn,6/1/2022,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
40,4601.865787,California,Grapes,2/1/2016,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
41,4699.518333,Kansas,Corn,5/1/2015,70,90,41,95,508,635,68,571.5,2,481.5,5.633802817,65.55479918,35.594301
42,680.9810306,Kansas,Soybean,6/1/2015,80,100,50,70,50,90,60,70,20,30,56.33802817,4.084411164,30.21121967
43,4953.564574,Iowa,Corn,6/1/2013,75,105,41,95,508,635,68,571.5,7,466.5,19.71830986,63.5125936,41.61545173
44,4899.748141,Kansas,Wheat,9/1/2021,63.52640545,79.87720045,70,75,200,250,72.5,225,8.973594549,145.1227995,25.27773112,19.75803942,22.51788527
45,1929.821119,Iowa,Soybean,6/1/2019,75,105,50,70,50,90,60,70,15,35,42.25352113,4.765146358,23.50933374
46,3866.74334,Kansas,Wheat,5/1/2014,70,90,70,75,200,250,72.5,225,2.5,135,7.042253521,18.37985024,12.71105188
47,2599.533822,Iowa,Corn,6/1/2018,75,105,41,95,508,635,68,571.5,7,466.5,19.71830986,63.5125936,41.61545173
48,2499.527307,California,Grapes,3/1/2019,52,70,77,90,635,890,83.5,762.5,31.5,692.5,88.73239437,94.28182437,91.50710937
49,3250.36623,California,Grapes,3/1/2017,52,70,77,90,635,890,83.5,762.5,31.5,692.5,88.73239437,94.28182437,91.50710937
50,4057.377408,Kansas,Soybean,5/1/2013,70,90,50,70,50,90,60,70,10,20,28.16901408,2.722940776,15.44597743
51,1122.437122,California,Grapes,2/1/2017,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
52,2868.372777,California,Grapes,4/1/2015,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
53,2611.811296,Iowa,Corn,5/1/2016,65,110,41,95,508,635,68,571.5,3,461.5,8.450704225,62.83185841,35.64128132
54,3280.489915,California,Almonds,10/1/2013,60,28,32,45,400,500,38.5,450,21.5,422,60.56338028,57.45405037,59.00871533
55,2909.774443,Iowa,Soybean,5/1/2013,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
56,1302.51127,Iowa,Corn,6/1/2017,75,105,41,95,508,635,68,571.5,7,466.5,19.71830986,63.5125936,41.61545173
57,1222.398897,Iowa,Corn,6/1/2020,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
58,4454.048628,Iowa,Corn,4/1/2014,55,95,41,95,508,635,68,571.5,13,476.5,36.61971831,64.87406399,50.74689115
59,4183.388746,Kansas,Corn,6/1/2021,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
60,1203.323287,California,Almonds,11/1/2017,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
61,2560.964925,Kansas,Corn,5/1/2013,70,90,41,95,508,635,68,571.5,2,481.5,5.633802817,65.55479918,35.594301
62,4337.387233,Kansas,Soybean,6/1/2021,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
63,702.3947807,California,Grapes,4/1/2017,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
64,432.3080696,California,Grapes,2/1/2019,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
65,4892.074364,Iowa,Soybean,5/1/2018,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
66,3853.410796,Iowa,Corn,4/1/2020,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
67,1638.644025,Kansas,Soybean,6/1/2022,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
68,277.7819905,Iowa,Soybean,6/1/2022,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
69,3352.49607,California,Almonds,10/1/2020,63.52640545,79.87720045,32,45,400,500,38.5,450,25.02640545,370.1227995,70.49691676,50.39112315,60.44401996
70,2107.480098,California,Grapes,2/1/2018,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
71,3261.429741,Iowa,Corn,5/1/2020,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
72,2509.083613,Iowa,Soybean,5/1/2018,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
73,2118.534868,Kansas,Corn,5/1/2014,70,90,41,95,508,635,68,571.5,2,481.5,5.633802817,65.55479918,35.594301
74,1988.608,Iowa,Soybean,5/1/2013,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
75,2681.388884,Kansas,Wheat,5/1/2021,63.52640545,79.87720045,70,75,200,250,72.5,225,8.973594549,145.1227995,25.27773112,19.75803942,22.51788527
76,2193.796724,Kansas,Corn,5/1/2016,70,90,41,95,508,635,68,571.5,2,481.5,5.633802817,65.55479918,35.594301
77,4013.413244,Kansas,Corn,4/1/2013,60,75,41,95,508,635,68,571.5,8,496.5,22.53521127,67.59700477,45.06610802
78,3693.706204,Iowa,Soybean,5/1/2013,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
79,493.8031896,California,Grapes,3/1/2021,63.52640545,79.87720045,77,90,635,890,83.5,762.5,19.97359455,682.6227995,56.26364662,92.93707278,74.6003597
80,4030.580467,California,Grapes,4/1/2015,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
81,384.1252574,Iowa,Soybean,6/1/2021,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
82,4523.302852,Iowa,Soybean,6/1/2020,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
83,446.5938507,California,Grapes,4/1/2017,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
84,4582.048148,Kansas,Wheat,10/1/2021,63.52640545,79.87720045,70,75,200,250,72.5,225,8.973594549,145.1227995,25.27773112,19.75803942,22.51788527
85,2988.520148,Iowa,Corn,4/1/2022,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
86,4073.488758,Kansas,Wheat,9/1/2015,75,75,70,75,200,250,72.5,225,2.5,150,7.042253521,20.42205582,13.73215467
87,1325.440482,Kansas,Soybean,5/1/2017,70,90,50,70,50,90,60,70,10,20,28.16901408,2.722940776,15.44597743
88,1913.407879,California,Almonds,10/1/2019,60,28,32,45,400,500,38.5,450,21.5,422,60.56338028,57.45405037,59.00871533
89,2767.530944,Iowa,Corn,6/1/2017,75,105,41,95,508,635,68,571.5,7,466.5,19.71830986,63.5125936,41.61545173
90,2657.391546,California,Grapes,2/1/2022,63.52640545,79.87720045,77,90,635,890,83.5,762.5,19.97359455,682.6227995,56.26364662,92.93707278,74.6003597
91,2818.859309,Kansas,Wheat,4/1/2021,63.52640545,79.87720045,70,75,200,250,72.5,225,8.973594549,145.1227995,25.27773112,19.75803942,22.51788527
92,1323.898338,California,Grapes,4/1/2021,63.52640545,79.87720045,77,90,635,890,83.5,762.5,19.97359455,682.6227995,56.26364662,92.93707278,74.6003597
93,3888.44555,Iowa,Soybean,6/1/2022,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
94,1928.658303,Kansas,Wheat,9/1/2017,75,75,70,75,200,250,72.5,225,2.5,150,7.042253521,20.42205582,13.73215467
95,3984.892165,California,Almonds,10/1/2014,60,28,32,45,400,500,38.5,450,21.5,422,60.56338028,57.45405037,59.00871533
96,969.0848507,California,Grapes,2/1/2018,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
97,716.4494592,California,Grapes,4/1/2015,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
98,399.3679021,Kansas,Wheat,5/1/2019,70,90,70,75,200,250,72.5,225,2.5,135,7.042253521,18.37985024,12.71105188
99,3338.14417,California,Grapes,2/1/2013,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
100,2544.625401,Iowa,Corn,5/1/2022,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
101,1619.329802,Iowa,Soybean,5/1/2021,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
102,3195.279518,Kansas,Soybean,5/1/2019,70,90,50,70,50,90,60,70,10,20,28.16901408,2.722940776,15.44597743
103,3852.684827,Kansas,Corn,5/1/2016,70,90,41,95,508,635,68,571.5,2,481.5,5.633802817,65.55479918,35.594301
104,4855.749262,Iowa,Corn,6/1/2014,75,105,41,95,508,635,68,571.5,7,466.5,19.71830986,63.5125936,41.61545173
105,1801.465731,California,Grapes,4/1/2015,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
106,1343.92121,Iowa,Soybean,6/1/2016,75,105,50,70,50,90,60,70,15,35,42.25352113,4.765146358,23.50933374
107,680.1156495,California,Almonds,11/1/2015,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
108,979.8056128,California,Grapes,2/1/2014,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
109,2550.233584,Kansas,Corn,5/1/2017,70,90,41,95,508,635,68,571.5,2,481.5,5.633802817,65.55479918,35.594301
110,2486.358114,Iowa,Corn,6/1/2022,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
111,3256.44202,California,Grapes,2/1/2016,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
112,2069.49167,Kansas,Wheat,11/1/2016,50,40,70,75,200,250,72.5,225,22.5,185,63.38028169,25.18720218,44.28374193
113,4323.880096,Kansas,Wheat,11/1/2018,50,40,70,75,200,250,72.5,225,22.5,185,63.38028169,25.18720218,44.28374193
114,4186.024913,Iowa,Soybean,6/1/2020,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
115,571.4398843,Kansas,Soybean,5/1/2022,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
116,3147.968067,California,Almonds,11/1/2014,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
117,496.0743739,Iowa,Soybean,6/1/2019,75,105,50,70,50,90,60,70,15,35,42.25352113,4.765146358,23.50933374
118,1128.82662,California,Almonds,11/1/2014,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
119,2995.029653,Iowa,Corn,4/1/2020,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
120,2627.936739,Iowa,Corn,4/1/2017,55,95,41,95,508,635,68,571.5,13,476.5,36.61971831,64.87406399,50.74689115
121,4251.408819,California,Grapes,4/1/2013,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
122,4116.098898,Iowa,Soybean,5/1/2020,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
123,1723.516608,Iowa,Soybean,5/1/2015,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
124,3663.628383,Iowa,Corn,5/1/2014,65,110,41,95,508,635,68,571.5,3,461.5,8.450704225,62.83185841,35.64128132
125,4376.507168,California,Almonds,11/1/2013,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
126,907.5076556,Iowa,Corn,4/1/2018,55,95,41,95,508,635,68,571.5,13,476.5,36.61971831,64.87406399,50.74689115
127,4997.41079,Iowa,Soybean,6/1/2018,75,105,50,70,50,90,60,70,15,35,42.25352113,4.765146358,23.50933374
128,510.9282351,California,Almonds,11/1/2021,63.52640545,79.87720045,32,45,400,500,38.5,450,25.02640545,370.1227995,70.49691676,50.39112315,60.44401996
129,1187.211526,Kansas,Soybean,5/1/2015,70,90,50,70,50,90,60,70,10,20,28.16901408,2.722940776,15.44597743
130,4730.368044,California,Almonds,11/1/2018,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
131,1991.299822,Iowa,Soybean,5/1/2016,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
132,1403.900879,Kansas,Wheat,5/1/2014,70,90,70,75,200,250,72.5,225,2.5,135,7.042253521,18.37985024,12.71105188
133,4178.155479,California,Grapes,3/1/2013,52,70,77,90,635,890,83.5,762.5,31.5,692.5,88.73239437,94.28182437,91.50710937
134,1270.442174,Kansas,Soybean,5/1/2021,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
135,2584.702458,California,Almonds,11/1/2019,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
136,247.9497844,Kansas,Wheat,11/1/2020,63.52640545,79.87720045,70,75,200,250,72.5,225,8.973594549,145.1227995,25.27773112,19.75803942,22.51788527
137,3457.293784,California,Grapes,3/1/2015,52,70,77,90,635,890,83.5,762.5,31.5,692.5,88.73239437,94.28182437,91.50710937
138,746.8147076,Kansas,Wheat,10/1/2018,65,60,70,75,200,250,72.5,225,7.5,165,21.12676056,22.4642614,21.79551098
139,1858.240771,Kansas,Corn,4/1/2015,60,75,41,95,508,635,68,571.5,8,496.5,22.53521127,67.59700477,45.06610802
140,522.4441473,Iowa,Soybean,5/1/2015,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
141,1835.088764,Iowa,Soybean,6/1/2013,75,105,50,70,50,90,60,70,15,35,42.25352113,4.765146358,23.50933374
142,4345.454835,Iowa,Soybean,6/1/2022,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
143,2071.74208,Kansas,Soybean,5/1/2015,70,90,50,70,50,90,60,70,10,20,28.16901408,2.722940776,15.44597743
144,779.7397745,California,Almonds,10/1/2019,60,28,32,45,400,500,38.5,450,21.5,422,60.56338028,57.45405037,59.00871533
145,322.8486847,Iowa,Soybean,6/1/2020,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
146,4924.89325,Kansas,Wheat,9/1/2021,63.52640545,79.87720045,70,75,200,250,72.5,225,8.973594549,145.1227995,25.27773112,19.75803942,22.51788527
147,4845.479725,Iowa,Corn,4/1/2019,55,95,41,95,508,635,68,571.5,13,476.5,36.61971831,64.87406399,50.74689115
148,4754.509521,Kansas,Corn,6/1/2014,80,100,41,95,508,635,68,571.5,12,471.5,33.8028169,64.1933288,48.99807285
149,3146.204779,California,Almonds,10/1/2019,60,28,32,45,400,500,38.5,450,21.5,422,60.56338028,57.45405037,59.00871533
150,879.4977411,California,Almonds,10/1/2022,63.52640545,79.87720045,32,45,400,500,38.5,450,25.02640545,370.1227995,70.49691676,50.39112315,60.44401996
151,2762.856892,Kansas,Soybean,6/1/2015,80,100,50,70,50,90,60,70,20,30,56.33802817,4.084411164,30.21121967
152,1216.547096,Iowa,Soybean,5/1/2013,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
153,4258.510844,Kansas,Wheat,4/1/2017,60,75,70,75,200,250,72.5,225,12.5,150,35.21126761,20.42205582,27.81666171
154,3762.186136,Iowa,Soybean,5/1/2020,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
155,2709.835039,Kansas,Corn,5/1/2015,70,90,41,95,508,635,68,571.5,2,481.5,5.633802817,65.55479918,35.594301
156,4608.549641,Kansas,Soybean,5/1/2016,70,90,50,70,50,90,60,70,10,20,28.16901408,2.722940776,15.44597743
157,3701.637971,Kansas,Corn,4/1/2016,60,75,41,95,508,635,68,571.5,8,496.5,22.53521127,67.59700477,45.06610802
158,4570.733464,Kansas,Corn,4/1/2015,60,75,41,95,508,635,68,571.5,8,496.5,22.53521127,67.59700477,45.06610802
159,3966.062189,California,Almonds,10/1/2021,63.52640545,79.87720045,32,45,400,500,38.5,450,25.02640545,370.1227995,70.49691676,50.39112315,60.44401996
160,1168.826398,California,Almonds,11/1/2015,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
161,3856.185387,California,Almonds,11/1/2013,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
162,614.5413986,Kansas,Corn,6/1/2017,80,100,41,95,508,635,68,571.5,12,471.5,33.8028169,64.1933288,48.99807285
163,220.0287102,Iowa,Soybean,5/1/2014,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
164,1576.14785,Kansas,Soybean,5/1/2022,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
165,2365.213836,California,Grapes,4/1/2013,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
166,2450.845147,Kansas,Wheat,10/1/2018,65,60,70,75,200,250,72.5,225,7.5,165,21.12676056,22.4642614,21.79551098
167,4995.491082,Kansas,Soybean,6/1/2021,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
168,3454.845321,Iowa,Corn,6/1/2022,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
169,1652.071044,California,Almonds,10/1/2013,60,28,32,45,400,500,38.5,450,21.5,422,60.56338028,57.45405037,59.00871533
170,4662.548151,California,Grapes,2/1/2016,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
171,4361.20254,California,Grapes,2/1/2018,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
172,4203.665961,Iowa,Corn,4/1/2015,55,95,41,95,508,635,68,571.5,13,476.5,36.61971831,64.87406399,50.74689115
173,4451.296547,Iowa,Corn,4/1/2013,55,95,41,95,508,635,68,571.5,13,476.5,36.61971831,64.87406399,50.74689115
174,216.7765798,Kansas,Soybean,6/1/2016,80,100,50,70,50,90,60,70,20,30,56.33802817,4.084411164,30.21121967
175,288.1288271,Iowa,Soybean,6/1/2016,75,105,50,70,50,90,60,70,15,35,42.25352113,4.765146358,23.50933374
176,261.5556426,California,Almonds,11/1/2019,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
177,3388.162794,California,Almonds,11/1/2016,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
178,2670.636411,Kansas,Wheat,5/1/2016,70,90,70,75,200,250,72.5,225,2.5,135,7.042253521,18.37985024,12.71105188
179,1716.647276,Iowa,Soybean,5/1/2019,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
180,4656.886945,Kansas,Corn,4/1/2022,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
181,3085.748701,Kansas,Soybean,5/1/2021,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
182,2265.640775,California,Grapes,2/1/2013,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
183,3412.192726,California,Almonds,11/1/2019,53,63,32,45,400,500,38.5,450,14.5,387,40.84507042,52.68890402,46.76698722
184,4571.357051,Iowa,Corn,4/1/2021,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
185,2646.923006,Iowa,Soybean,5/1/2016,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
186,4953.77726,California,Grapes,4/1/2015,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
187,3865.356403,Iowa,Soybean,6/1/2015,75,105,50,70,50,90,60,70,15,35,42.25352113,4.765146358,23.50933374
188,2653.480437,Kansas,Wheat,11/1/2014,50,40,70,75,200,250,72.5,225,22.5,185,63.38028169,25.18720218,44.28374193
189,428.1709455,Kansas,Soybean,6/1/2015,80,100,50,70,50,90,60,70,20,30,56.33802817,4.084411164,30.21121967
190,634.3721189,Kansas,Soybean,5/1/2014,70,90,50,70,50,90,60,70,10,20,28.16901408,2.722940776,15.44597743
191,3960.984189,California,Almonds,10/1/2021,63.52640545,79.87720045,32,45,400,500,38.5,450,25.02640545,370.1227995,70.49691676,50.39112315,60.44401996
192,1215.104212,Kansas,Wheat,10/1/2014,65,60,70,75,200,250,72.5,225,7.5,165,21.12676056,22.4642614,21.79551098
193,324.4911457,California,Grapes,4/1/2018,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
194,2481.561423,Kansas,Wheat,4/1/2017,60,75,70,75,200,250,72.5,225,12.5,150,35.21126761,20.42205582,27.81666171
195,859.3875627,Iowa,Corn,6/1/2015,75,105,41,95,508,635,68,571.5,7,466.5,19.71830986,63.5125936,41.61545173
196,1436.295314,California,Grapes,3/1/2013,52,70,77,90,635,890,83.5,762.5,31.5,692.5,88.73239437,94.28182437,91.50710937
197,2100.876739,Iowa,Soybean,5/1/2014,65,110,50,70,50,90,60,70,5,40,14.08450704,5.445881552,9.765194297
198,958.6142448,California,Almonds,10/1/2022,63.52640545,79.87720045,32,45,400,500,38.5,450,25.02640545,370.1227995,70.49691676,50.39112315,60.44401996
199,2798.238909,Iowa,Corn,4/1/2013,55,95,41,95,508,635,68,571.5,13,476.5,36.61971831,64.87406399,50.74689115
